Team,Score,Best 16 sum,Best 8 sum,Best 4 sum,Best 2 sum,World champ,Best 2,Best 4,Best 8,Best 16
Argentina,5576,504,370,265,179,115,64,86,105,134
Australia,1243,495,170,54,14,5,9,40,116,325
Belgium,4828,500,348,240,156,89,67,84,108,152
Brazil,6241,489,374,287,206,138,68,81,87,115
Colombia,2490,516,295,138,54,25,29,84,157,221
Costa Rica,1519,515,214,76,22,6,16,54,138,301
Croatia,2215,503,274,119,48,19,29,71,155,229
Denmark,2424,478,285,154,57,19,38,97,131,193
Egypt,1286,470,176,60,18,5,13,42,116,294
England,2250,466,272,144,55,14,41,89,128,194
France,3419,491,330,191,100,44,56,91,139,161
Germany,5828,482,363,265,195,125,70,70,98,119
Iceland,1640,500,226,88,28,7,21,60,138,274
Iran,1289,505,198,63,15,1,14,48,135,307
Japan,959,485,133,34,5,2,3,29,99,352
Mexico,2430,508,293,148,63,15,48,85,145,215
Morocco,1181,511,173,49,12,2,10,37,124,338
Nigeria,1135,519,162,41,10,3,7,31,121,357
Panama,888,470,131,29,5,0,5,24,102,339
Peru,3047,511,324,186,75,34,41,111,138,187
Poland,3980,514,333,214,123,60,63,91,119,181
Portugal,5447,505,359,246,167,119,48,79,113,146
Russia,822,524,107,17,2,0,2,15,90,417
Saudi Arabia,832,500,112,19,4,0,4,15,93,388
Senegal,1702,512,229,87,32,8,24,55,142,283
Serbia,1255,495,184,64,17,0,17,47,120,311
South Korea,1017,521,132,30,6,4,2,24,102,389
Spain,4316,500,346,223,131,74,57,92,123,154
Sweden,2185,497,270,119,48,18,30,71,151,227
Switzerland,3296,486,321,184,103,38,65,81,137,165
Tunisia,1436,504,230,72,17,3,14,55,158,274
Uruguay,1824,524,266,94,33,8,25,61,172,258
